0	9.603	-9.969	874.21	17.11	0	0	10
1	9.603	-9.738	874.21	17.11	0	0	10
2	9.603	-9.976	874.21	17.11	0	0	10
3	9.603	-9.945	874.21	17.11	0	0	10
4	9.485	-10.25	871.161	17.053	0	0	10
5	9.485	-10.428	871.161	17.053	0	0	10
6	9.485	-10.88	871.161	17.053	0	0	10
7	9.485	-10.659	871.161	17.053	0	0	10
8	9.491	-10.701	871.011	16.996	0	0	10
9	9.491	-10.351	871.011	16.996	0	0	10
10	9.491	-10.416	871.011	16.996	0	0	10
11	9.491	-10.401	871.011	16.996	0	0	10
12	9.498	-10.64	870.852	16.938	0	0	10
13	9.498	-10.488	870.852	16.938	0	0	10
14	9.498	-10.874	870.852	16.938	0	0	10
15	9.498	-11.073	870.852	16.938	0	0	10
16	9.503	-11.228	870.678	16.88	0	0	10
17	9.503	-11.098	870.678	16.88	0	0	10
18	9.503	-11.285	870.678	16.88	0	0	10
19	9.503	-11.131	870.678	16.88	0	0	10
20	9.51	-10.994	870.563	16.822	0	0	10
21	9.51	-11.011	870.563	16.822	0	0	10
22	9.51	-10.781	870.563	16.822	0	0	10
23	9.51	-10.493	870.563	16.822	0	0	10
24	9.517	-10.473	870.416	16.764	0	0	10
25	9.517	-10.442	870.416	16.764	0	0	10
26	9.517	-10.61	870.416	16.764	0	0	10
27	9.517	-10.7	870.416	16.764	0	0	10
28	9.524	-10.849	870.15	16.705	0	0	10
29	9.524	-10.934	870.15	16.705	0	0	10
30	9.524	-11.02	870.15	16.705	0	0	10
31	9.524	-11.151	870.15	16.705	0	0	10
32	9.531	-11.26	869.849	16.646	0	0	10
33	9.531	-11.475	869.849	16.646	0	0	10
34	9.531	-11.79	869.849	16.646	0	0	10
35	9.531	-11.62	869.849	16.646	0	0	10
36	9.539	-10.324	869.49	16.587	0	0	10
37	9.539	-7.777	869.49	16.587	0	0	10
38	9.539	-3.418	869.49	16.587	0	0	10
39	9.539	2.172	869.49	16.587	0	0	10
40	9.547	8.774	869.239	16.535	0	0	10
41	9.547	15.457	869.239	16.535	0	0	10
42	9.547	22.117	869.239	16.535	0	0	10
43	9.547	28.165	869.239	16.535	0	0	10
44	9.555	33.546	869.126	16.484	0	0	10
45	9.555	37.571	869.126	16.484	0	0	10
46	9.555	40.622	869.126	16.484	0	0	10
47	9.555	42.146	869.126	16.484	0	0	10
48	9.565	42.795	869.062	16.432	0	0	10
49	9.565	42.087	869.062	16.432	0	0	10
50	9.565	40.533	869.062	16.432	0	0	10
51	9.565	38.262	869.062	16.432	0	0	10
52	9.574	35.472	868.99	16.379	0	0	10
